Id,Time
2,3
2,5
2,7
2,9
2,10
2,13
2,15
2,16
2,19
2,21
2,23
2,24
2,26
2,27
2,29
2,31
2,32
2,32
2,32
2,33
2,33
2,33
2,33
2,33
2,34
2,36
2,37
2,37
2,38
2,38
2,38
2,39
2,41
2,42
2,42
2,43
2,45
2,46
2,46
2,46
2,46
2,46
2,47
2,50
2,51
2,54
2,54
2,55
2,56
2,56
1,3
1,6
1,7
1,9
1,11
1,13
1,15
1,17
1,19
1,21
1,23
1,24
1,26
1,27
1,29
1,31
1,34
1,34
1,35
1,36
1,37
1,38
1,39
1,41
1,42
1,43
1,43
1,45
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,48
1,48
1,48
1,48
1,56
1,56
1,56
1,56
1,56
5,1
5,3
5,5
5,7
5,9
5,10
5,13
5,14
5,16
5,18
5,21
5,22
5,24
5,25
5,27
5,29
5,31
5,33
5,34
5,34
5,35
5,36
5,37
5,38
5,40
5,41
5,42
5,44
5,44
5,45
5,49
5,50
5,50
5,51
5,51
5,52
5,53
5,53
5,54
5,54
5,54
5,55
5,55
5,55
5,55
5,55
5,55
5,55
5,55
5,56
4,1
4,3
4,5
4,11
4,13
4,15
4,17
4,19
4,21
4,23
4,24
4,26
4,27
4,29
4,31
4,33
4,33
4,34
4,35
4,36
4,38
4,39
4,39
4,40
4,41
4,42
4,44
4,45
4,45
4,49
4,50
4,51
4,53
4,53
4,53
4,53
4,54
4,54
4,54
4,56
4,56
4,56
4,56
4,56
4,56
4,56
4,56
4,56
4,56
4,56
3,1
3,4
3,5
3,7
3,7
3,8
3,8
3,11
3,13
3,15
3,17
3,19
3,21
3,23
3,25
3,26
3,27
3,30
3,31
3,33
3,35
3,36
3,36
3,37
3,37
3,37
3,39
3,39
3,39
3,41
3,41
3,42
3,44
3,45
3,50
3,51
3,53
3,54
3,54
3,55
3,56
3,57
3,57
3,57
3,57
3,57
3,57
3,57
3,57
3,57
